match_value,area_code,source_field,country_name
ABW,Neotropics,ISO,Aruba
AFG,East Palearctic,ISO,Afghanistan
AGO,Afrotropics,ISO,Angola
AIA,Neotropics,ISO,Anguilla
ALB,West Palearctic,ISO,Albania
AND,West Palearctic,ISO,Andorra
ARE,Afrotropics,ISO,United Arab Emirates
ARG,Neotropics,ISO,Argentina
ARM,West Palearctic,ISO,Armenia
ASM,Australasia,ISO,American Samoa
ATG,Neotropics,ISO,Antigua and Barbuda
AUS,Australasia,ISO,Australia
AUT,West Palearctic,ISO,Austria
AZE,East Palearctic,ISO,Azerbaijan
BDI,Afrotropics,ISO,Burundi
BEL,West Palearctic,ISO,Belgium
BEN,Afrotropics,ISO,Benin
BFA,Afrotropics,ISO,Burkina Faso
BGD,Indomalaya,ISO,Bangladesh
BGR,West Palearctic,ISO,Bulgaria
BHS,Neotropics,ISO,Bahamas
BIH,West Palearctic,ISO,Bosnia and Herzegovina
BLM,Neotropics,ISO,Saint Barthélemy
BLR,West Palearctic,ISO,Belarus
BLZ,Neotropics,ISO,Belize
BMU,Nearctic,ISO,Bermuda
BOL,Neotropics,ISO,Bolivia (Plurinational State of)
BRA,Neotropics,ISO,Brazil
BRB,Neotropics,ISO,Barbados
BRN,Indomalaya,ISO,Brunei Darussalam
BTN,East Palearctic,ISO,Bhutan
BWA,Afrotropics,ISO,Botswana
CAF,Afrotropics,ISO,Central African Republic
CAN,Nearctic,ISO,Canada
CCK,Indomalaya,ISO,Cocos (Keeling) Islands
CHE,West Palearctic,ISO,Switzerland
CHL,Neotropics,ISO,Chile
CIV,Afrotropics,ISO,Côte d'Ivoire
CMR,Afrotropics,ISO,Cameroon
COD,Afrotropics,ISO,"Congo, Democratic Republic of the"
COG,Afrotropics,ISO,"Congo, Republic of the"
COK,Australasia,ISO,Cook Islands
COL,Neotropics,ISO,Colombia
COM,Afrotropics,ISO,Comoros
CPV,Afrotropics,ISO,Cabo Verde
CRI,Neotropics,ISO,Costa Rica
CUB,Neotropics,ISO,Cuba
CUW,Neotropics,ISO,Curaçao
CXR,Indomalaya,ISO,Christmas Island
CYM,Neotropics,ISO,Cayman Islands
CYP,West Palearctic,ISO,Cyprus
CZE,West Palearctic,ISO,Czechia
DEU,West Palearctic,ISO,Germany
DJI,Afrotropics,ISO,Djibouti
DMA,Neotropics,ISO,Dominica
DNK,West Palearctic,ISO,Denmark
DOM,Neotropics,ISO,Dominican Republic
DZA,West Palearctic,ISO,Algeria
ECU,Neotropics,ISO,Ecuador
EGY,West Palearctic,ISO,Egypt
ERI,Afrotropics,ISO,Eritrea
ESP,West Palearctic,ISO,Spain
EST,West Palearctic,ISO,Estonia
ETH,Afrotropics,ISO,Ethiopia
FIN,West Palearctic,ISO,Finland
FJI,Australasia,ISO,Fiji
FLK,Neotropics,ISO,Falkland Islands (Malvinas)
FRA,West Palearctic,ISO,France
GAB,Afrotropics,ISO,Gabon
GBR,West Palearctic,ISO,United Kingdom of Great Britain and Northern Ireland
GEO,West Palearctic,ISO,Georgia
GHA,Afrotropics,ISO,Ghana
GIB,West Palearctic,ISO,Gibraltar
GIN,Afrotropics,ISO,Guinea
GLP,Neotropics,ISO,Guadeloupe
GMB,Afrotropics,ISO,Gambia
GNB,Afrotropics,ISO,Guinea-Bissau
GNQ,Afrotropics,ISO,Equatorial Guinea
GRC,West Palearctic,ISO,Greece
GRD,Neotropics,ISO,Grenada
GRL,Nearctic,ISO,Greenland
GTM,Neotropics,ISO,Guatemala
GUF,Neotropics,ISO,French Guiana
GUM,Australasia,ISO,Guam
GUY,Neotropics,ISO,Guyana
HKG,Indomalaya,ISO,Hong Kong
HND,Neotropics,ISO,Honduras
HRV,West Palearctic,ISO,Croatia
HTI,Neotropics,ISO,Haiti
HUN,West Palearctic,ISO,Hungary
IMN,West Palearctic,ISO,Isle of Man
IND,Indomalaya,ISO,India
IRL,West Palearctic,ISO,Ireland
IRN,East Palearctic,ISO,Iran (Islamic Republic of)
IRQ,East Palearctic,ISO,Iraq
ISL,West Palearctic,ISO,Iceland
ISR,West Palearctic,ISO,Israel
ITA,West Palearctic,ISO,Italy
JAM,Neotropics,ISO,Jamaica
JEY,West Palearctic,ISO,Jersey
JOR,West Palearctic,ISO,Jordan
JPN,East Palearctic,ISO,Japan
KAZ,East Palearctic,ISO,Kazakhstan
KEN,Afrotropics,ISO,Kenya
KGZ,East Palearctic,ISO,Kyrgyzstan
KHM,Indomalaya,ISO,Cambodia
KIR,Australasia,ISO,Kiribati
KNA,Neotropics,ISO,Saint Kitts and Nevis
KOR,East Palearctic,ISO,"Korea, Republic of"
KWT,East Palearctic,ISO,Kuwait
LAO,Indomalaya,ISO,Lao People's Democratic Republic
LBN,West Palearctic,ISO,Lebanon
LBR,Afrotropics,ISO,Liberia
LBY,West Palearctic,ISO,Libya
LCA,Neotropics,ISO,Saint Lucia
LKA,Indomalaya,ISO,Sri Lanka
LSO,Afrotropics,ISO,Lesotho
LTU,West Palearctic,ISO,Lithuania
LUX,West Palearctic,ISO,Luxembourg
LVA,West Palearctic,ISO,Latvia
MAC,Indomalaya,ISO,Macao
MAR,West Palearctic,ISO,Morocco
