source_name,area_code,rule,polygon_count
"Zimbabwe","Afrotropics","Dore country/subunit metadata",1
"Zambia","Afrotropics","Dore country/subunit metadata",1
"Yemen","Western Palearctic","Dore country/subunit metadata",4
"Suqutra","Western Palearctic","Dore country/subunit metadata",1
"Vietnam","Indomalaya","Dore country/subunit metadata",8
"Venezuela","Neotropics","Dore country/subunit metadata",5
"Vatican","Western Palearctic","Dore country/subunit metadata",1
"Vanuatu","Australasia","Dore country/subunit metadata",14
"Uzbekistan","Eastern Palearctic","Dore country/subunit metadata",3
"Uruguay","Neotropics","Dore country/subunit metadata",1
"Federated States of Micronesia","Australasia","Dore country/subunit metadata",5
"Marshall Islands","Australasia","Dore country/subunit metadata",5
"Northern Mariana Islands","Australasia","Dore country/subunit metadata",6
"United States Virgin Islands","Neotropics","Dore country/subunit metadata",3
"Guam","Australasia","Dore country/subunit metadata",1
"American Samoa","Australasia","Dore country/subunit metadata",1
"Puerto Rico","Neotropics","Dore country/subunit metadata",3
"Alaska","Nearctic","Dore USA special case; non-Hawaii subunit",68
"Hawaii","Australasia","Dore USA/Hawaii special case; NE subunit",7
"United States","Nearctic","Dore USA special case; non-Hawaii subunit",52
"Diego Garcia Naval Support Facility","Western Palearctic","Dore country/subunit metadata",1
"Saint Helena","Afrotropics","Dore country/subunit metadata",1
"Ascension","Afrotropics","Dore country/subunit metadata",1
"Pitcairn Islands","Western Palearctic","Dore country/subunit metadata",1
"Anguilla","Neotropics","Dore country/subunit metadata",1
"Falkland Islands","Western Palearctic","Dore country/subunit metadata",6
"Cayman Islands","Western Palearctic","Dore country/subunit metadata",3
"Bermuda","Neotropics","Dore country/subunit metadata",1
"British Virgin Islands","Neotropics","Dore country/subunit metadata",3
"Turks and Caicos Islands","Neotropics","Dore country/subunit metadata",3
"Montserrat","Western Palearctic","Dore country/subunit metadata",1
"Jersey","Western Palearctic","Dore country/subunit metadata",1
"Guernsey","Western Palearctic","Dore country/subunit metadata",1
"Isle of Man","Western Palearctic","Dore country/subunit metadata",1
"Wales","Western Palearctic","Dore country/subunit metadata",2
"Scotland","Western Palearctic","Dore country/subunit metadata",20
"Northern Ireland","Western Palearctic","Dore country/subunit metadata",1
"England","Western Palearctic","Dore country/subunit metadata",2
"United Arab Emirates","Western Palearctic","Dore country/subunit metadata",5
"Ukraine","Western Palearctic","Dore country/subunit metadata",2
"Uganda","Afrotropics","Dore country/subunit metadata",1
"Turkmenistan","Eastern Palearctic","Dore country/subunit metadata",2
"Turkey","Western Palearctic","Dore country/subunit metadata",3
"Tunisia","Western Palearctic","Dore country/subunit metadata",3
"Tobago","Neotropics","Dore country/subunit metadata",1
"Trinidad","Neotropics","Dore country/subunit metadata",1
"Tonga","Australasia","Dore country/subunit metadata",3
"Togo","Afrotropics","Dore country/subunit metadata",1
"East Timor","Australasia","Dore country/subunit metadata",2
"Oecussi","Australasia","Dore country/subunit metadata",1
"Thailand","Indomalaya","Dore country/subunit metadata",10
"Zanzibar","Afrotropics","Dore country/subunit metadata",2
"Tanzania","Afrotropics","Dore country/subunit metadata",2
"Tajikistan","Eastern Palearctic","Dore country/subunit metadata",3
"Taiwan","Indomalaya","Dore country/subunit metadata",2
"Syria","Western Palearctic","Dore country/subunit metadata",1
"Switzerland","Western Palearctic","Dore country/subunit metadata",1
"Sweden","Western Palearctic","Dore country/subunit metadata",6
"eSwatini","Afrotropics","Dore country/subunit metadata",1
"Suriname","Neotropics","Dore country/subunit metadata",1
"South Sudan","Afrotropics","Dore country/subunit metadata",1
"Sudan","Afrotropics","Dore country/subunit metadata",1
"Sri Lanka","Indomalaya","Dore country/subunit metadata",3
"Balearic Islands","Western Palearctic","Dore country/subunit metadata",4
"Spain","Western Palearctic","Dore country/subunit metadata",1
"Canary Islands","Western Palearctic","Dore country/subunit metadata",7
"South Korea","Eastern Palearctic","Dore country/subunit metadata",9
"Ulleungdo","Eastern Palearctic","Dore country/subunit metadata",1
"Jejudo","Eastern Palearctic","Dore country/subunit metadata",1
"South Africa","Afrotropics","Dore country/subunit metadata",1
"Prince Edward Islands","Afrotropics","Dore country/subunit metadata",1
"Somalia","Afrotropics","Dore country/subunit metadata",1
"Somaliland","Afrotropics","Dore country/subunit metadata",1
"Solomon Islands","Australasia","Dore country/subunit metadata",21
"Slovakia","Western Palearctic","Dore country/subunit metadata",1
"Slovenia","Western Palearctic","Dore country/subunit metadata",1
"Singapore","Indomalaya","Dore country/subunit metadata",1
"Sierra Leone","Afrotropics","Dore country/subunit metadata",2
"Seychelles","Afrotropics","Dore country/subunit metadata",1
"Serbia","Western Palearctic","Dore country/subunit metadata",1
"Vojvodina","Western Palearctic","Dore country/subunit metadata",1
"Senegal","Afrotropics","Dore country/subunit metadata",1
"Saudi Arabia","Western Palearctic","Dore country/subunit metadata",4
"Principe","Afrotropics","Dore country/subunit metadata",1
"São Tomé","Afrotropics","Dore country/subunit metadata",1
"San Marino","Western Palearctic","Dore country/subunit metadata",1
"Samoa","Australasia","Dore country/subunit metadata",2
"Saint Vincent and the Grenadines","Neotropics","Dore country/subunit metadata",3
"Saint Lucia","Neotropics","Dore country/subunit metadata",1
"Saint Kitts and Nevis","Neotropics","Dore country/subunit metadata",2
"Rwanda","Afrotropics","Dore country/subunit metadata",1
"Romania","Western Palearctic","Dore country/subunit metadata",1
"Qatar","Western Palearctic","Dore country/subunit metadata",1
"Madeira","Western Palearctic","Dore country/subunit metadata",1
"Portugal","Western Palearctic","Dore country/subunit metadata",1
"Azores","Western Palearctic","Dore country/subunit metadata",7
"Poland","Western Palearctic","Dore country/subunit metadata",1
"Philippines","Indomalaya","Dore country/subunit metadata",48
"Peru","Neotropics","Dore country/subunit metadata",1
"Paraguay","Neotropics","Dore country/subunit metadata",1
"Papua New Guinea","Australasia","Dore country/subunit metadata",24
"Bougainville","Australasia","Dore country/subunit metadata",2
"Panama","Neotropics","Dore country/subunit metadata",5
"Palau","Australasia","Dore country/subunit metadata",2
"Oman","Western Palearctic","Dore country/subunit metadata",4
"Norway","Western Palearctic","Dore country/subunit metadata",22
"Jan Mayen","Western Palearctic","Dore country/subunit metadata",1
"Svalbard","Western Palearctic","Dore country/subunit metadata",9
"North Korea","Eastern Palearctic","Dore country/subunit metadata",2
"Nigeria","Afrotropics","Dore country/subunit metadata",2
"Niger","Afrotropics","Dore country/subunit metadata",1
"Nicaragua","Neotropics","Dore country/subunit metadata",1
"South Island","Australasia","Dore country/subunit metadata",5
"North Island","Australasia","Dore country/subunit metadata",2
"New Zealand SubAntarctic islands","Australasia","Dore country/subunit metadata",2
"Chatham Islands","Australasia","Dore country/subunit metadata",2
"Niue","Australasia","Dore country/subunit metadata",1
"Tokelau","Australasia","Dore country/subunit metadata",2
"Cook Islands","Australasia","Dore country/subunit metadata",1
"Netherlands","Western Palearctic","Dore 7-PaleA Netherlands mainland -> Western Palearctic",9
"Aruba","Neotropics","Dore country/subunit metadata",1
"Caribbean Netherlands","Neotropics","Netherlands Caribbean subunit",3
"Curaçao","Neotropics","Dore country/subunit metadata",1
"Nepal","Indomalaya","Dore country/subunit metadata",1
"Nauru","Australasia","Dore country/subunit metadata",1
"Namibia","Afrotropics","Dore country/subunit metadata",1
"Mozambique","Afrotropics","Dore country/subunit metadata",1
"Morocco","Western Palearctic","Dore country/subunit metadata",1
"Western Sahara","Western Palearctic","Dore country/subunit metadata",1
"Montenegro","Western Palearctic","Dore country/subunit metadata",1
"Mongolia","Eastern Palearctic","Dore country/subunit metadata",1
"Moldova","Western Palearctic","Dore country/subunit metadata",1
"Monaco","Western Palearctic","Dore country/subunit metadata",1
"Mexico","Neotropics","Dore split: Mexico latitude < 22",6
"Mexico","Nearctic","Dore split: Mexico latitude >= 22",11
"Mauritius","Afrotropics","Dore country/subunit metadata",1
"Mauritania","Afrotropics","Dore country/subunit metadata",2
"Malta","Western Palearctic","Dore country/subunit metadata",2
"Mali","Afrotropics","Dore country/subunit metadata",1
"Maldives","Indomalaya","Dore country/subunit metadata",2
"Malaysia","Indomalaya","Dore country/subunit metadata",9
"Malawi","Afrotropics","Dore country/subunit metadata",3
