taxon,latitude,longitude,country,source,occurrence_id,country_code,status
Pseudoponera_stigma,8.70972,-83.87361,Costa Rica,GABI,AOTW_Ponerinae_Occ_1,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_2,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_3,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_4,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_5,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_6,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_7,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_8,CRI,valid
Pseudoponera_stigma,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_9,CRI,valid
Pseudoponera_stigma,10.59427,-83.71651,Costa Rica,GABI,AOTW_Ponerinae_Occ_10,CRI,valid
Pseudoponera_succedanea,10.35,-84.05,Costa Rica,GABI,AOTW_Ponerinae_Occ_11,CRI,valid
Pseudoponera_succedanea,10.35,-84.05,Costa Rica,GABI,AOTW_Ponerinae_Occ_12,CRI,valid
Pseudoponera_succedanea,10.35,-84.05,Costa Rica,GABI,AOTW_Ponerinae_Occ_13,CRI,valid
Pseudoponera_succedanea,10.33333,-84.06667,Costa Rica,GABI,AOTW_Ponerinae_Occ_14,CRI,valid
Pseudoponera_succedanea,10.33333,-84.06667,Costa Rica,GABI,AOTW_Ponerinae_Occ_15,CRI,valid
Pseudoponera_succedanea,8.89147,-82.79294,Costa Rica,GABI,AOTW_Ponerinae_Occ_16,CRI,valid
Pseudoponera_succedanea,10.99261,-85.42948,Costa Rica,GABI,AOTW_Ponerinae_Occ_17,CRI,valid
Pseudoponera_succedanea,10.99261,-85.42948,Costa Rica,GABI,AOTW_Ponerinae_Occ_18,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_19,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_20,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_21,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_22,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_23,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_24,CRI,valid
Pseudoponera_succedanea,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_25,CRI,valid
Ponera_pennsylvanica,42.26167,-83.06917,Canada,GABI,AOTW_Ponerinae_Occ_26,CAN,valid
Ponera_pennsylvanica,45.87021,-82.54186,Canada,GABI,AOTW_Ponerinae_Occ_27,CAN,valid
Ponera_pennsylvanica,45.87021,-82.54186,Canada,GABI,AOTW_Ponerinae_Occ_28,CAN,valid
Ponera_pennsylvanica,45.87021,-82.54186,Canada,GABI,AOTW_Ponerinae_Occ_29,CAN,valid
Ponera_pennsylvanica,45.87021,-82.54186,Canada,GABI,AOTW_Ponerinae_Occ_30,CAN,valid
Ponera_pennsylvanica,42.23583,-83.08,Canada,GABI,AOTW_Ponerinae_Occ_31,CAN,valid
Ponera_pennsylvanica,42.26278,-83.07139,Canada,GABI,AOTW_Ponerinae_Occ_32,CAN,valid
Ponera_pennsylvanica,44.17639,-78.07361,Canada,GABI,AOTW_Ponerinae_Occ_33,CAN,valid
Ponera_pennsylvanica,42.6725,-80.49056,Canada,GABI,AOTW_Ponerinae_Occ_34,CAN,valid
Ponera_pennsylvanica,42.7077,-80.34139,Canada,GABI,AOTW_Ponerinae_Occ_35,CAN,valid
Ponera_pennsylvanica,44.12889,-77.98333,Canada,GABI,AOTW_Ponerinae_Occ_36,CAN,valid
Simopelta_oculata,10.23617,-84.11767,Costa Rica,GABI,AOTW_Ponerinae_Occ_37,CRI,valid
Simopelta_oculata,10.23617,-84.11767,Costa Rica,GABI,AOTW_Ponerinae_Occ_38,CRI,valid
Simopelta_oculata,10.33333,-84.06667,Costa Rica,GABI,AOTW_Ponerinae_Occ_39,CRI,valid
Simopelta_pergandei,10.35,-84.05,Costa Rica,GABI,AOTW_Ponerinae_Occ_40,CRI,valid
Simopelta_pergandei,10.33333,-84.06667,Costa Rica,GABI,AOTW_Ponerinae_Occ_41,CRI,valid
Simopelta_pergandei,10.33333,-84.06667,Costa Rica,GABI,AOTW_Ponerinae_Occ_42,CRI,valid
Leptogenys_elongata,31.00586,-99.58008,United States of America,GABI,AOTW_Ponerinae_Occ_43,USA,valid
Ponera_pennsylvanica,42.26147222,-70.87138889,United States of America,GABI,AOTW_Ponerinae_Occ_44,USA,valid
Odontomachus_clarus,30.15463,-99.36035,United States of America,GABI,AOTW_Ponerinae_Occ_45,USA,valid
Leptogenys_elongata,30.47235,-100.81055,United States of America,GABI,AOTW_Ponerinae_Occ_46,USA,valid
Leptogenys_elongata,29.72384,-99.06921,United States of America,GABI,AOTW_Ponerinae_Occ_47,USA,valid
Leptogenys_elongata,29.598119,-99.73999,United States of America,GABI,AOTW_Ponerinae_Occ_48,USA,valid
Ponera_pennsylvanica,42.26466667,-70.87338889,United States of America,GABI,AOTW_Ponerinae_Occ_49,USA,valid
Cryptopone_gilva,30.433332,-84.3,United States of America,GABI,AOTW_Ponerinae_Occ_50,USA,valid
Odontomachus_clarus,29.43242,-104.02405,United States of America,GABI,AOTW_Ponerinae_Occ_51,USA,valid
Odontomachus_clarus,28.74358,-100.34637,United States of America,GABI,AOTW_Ponerinae_Occ_52,USA,valid
Odontomachus_clarus,31.88333,-109.20667,United States of America,GABI,AOTW_Ponerinae_Occ_53,USA,valid
Thaumatomyrmex_atrox,8.6791,-83.56671,Costa Rica,GABI,AOTW_Ponerinae_Occ_54,CRI,valid
Thaumatomyrmex_ferox,10.99261,-85.42948,Costa Rica,GABI,AOTW_Ponerinae_Occ_55,CRI,valid
Thaumatomyrmex_ferox,10.59427,-83.71651,Costa Rica,GABI,AOTW_Ponerinae_Occ_56,CRI,valid
Thaumatomyrmex_ferox,10.59427,-83.71651,Costa Rica,GABI,AOTW_Ponerinae_Occ_57,CRI,valid
Neoponera_commutata,-11.55,-47.3167,Brazil,GABI,AOTW_Ponerinae_Occ_58,BRA,valid
Anochetus_africanus,-18.96625,34.35144,Mozambique,GABI,AOTW_Ponerinae_Occ_59,MOZ,valid
Anochetus_africanus,-18.98013889,34.35263889,Mozambique,GABI,AOTW_Ponerinae_Occ_60,MOZ,valid
Leptogenys_leiothorax,-18.64333333,34.81438889,Mozambique,GABI,AOTW_Ponerinae_Occ_61,MOZ,valid
Leptogenys_leiothorax,-19.0425,34.46261111,Mozambique,GABI,AOTW_Ponerinae_Occ_62,MOZ,valid
Mesoponera_ambigua,-18.92636,34.41894,Mozambique,GABI,AOTW_Ponerinae_Occ_63,MOZ,valid
Mesoponera_ambigua,-18.92636111,34.41894444,Mozambique,GABI,AOTW_Ponerinae_Occ_64,MOZ,valid
Odontomachus_troglodytes,-18.98527778,34.30733333,Mozambique,GABI,AOTW_Ponerinae_Occ_65,MOZ,valid
Odontomachus_troglodytes,-19.01533333,34.38219444,Mozambique,GABI,AOTW_Ponerinae_Occ_66,MOZ,valid
Ponera_pennsylvanica,40.13137,-88.14159,United States of America,GABI,AOTW_Ponerinae_Occ_67,USA,valid
Neoponera_apicalis,3.36917,-73.8681,Colombia,GABI,AOTW_Ponerinae_Occ_68,COL,valid
Neoponera_apicalis,4.31444,-72.0825,Colombia,GABI,AOTW_Ponerinae_Occ_69,COL,valid
Pachycondyla_crassinoda,3.35,-73.9333,Colombia,GABI,AOTW_Ponerinae_Occ_70,COL,valid
Pachycondyla_harpax,3.36917,-73.8681,Colombia,GABI,AOTW_Ponerinae_Occ_71,COL,valid
Neoponera_apicalis,3.93556,-76.68833,Colombia,GABI,AOTW_Ponerinae_Occ_72,COL,valid
Neoponera_apicalis,4.56667,-75.7,Colombia,GABI,AOTW_Ponerinae_Occ_73,COL,valid
Odontomachus_opaciventris,3.93556,-76.68833,Colombia,GABI,AOTW_Ponerinae_Occ_74,COL,valid
Neoponera_unidentata,5.71667,-77.26667,Colombia,GABI,AOTW_Ponerinae_Occ_75,COL,valid
