match_value,area_code,source_field
MYS,Indomalaya,ISO_A3
Malaysia,Indomalaya,SUBUNIT
CHL,Neotropics,ISO_A3
Chile,Neotropics,SUBUNIT
BOL,Neotropics,ISO_A3
Bolivia,Neotropics,SUBUNIT
PER,Neotropics,ISO_A3
Peru,Neotropics,SUBUNIT
ARG,Neotropics,ISO_A3
Argentina,Neotropics,SUBUNIT
DSB,Western Palearctic,ISO_A3
Dhekelia Sovereign Base Area,Western Palearctic,SUBUNIT
CYP,Western Palearctic,ISO_A3
Cyprus,Western Palearctic,SUBUNIT
ISR,Western Palearctic,ISO_A3
Israel,Western Palearctic,SUBUNIT
PSE,Western Palearctic,ISO_A3
Palestine,Western Palearctic,SUBUNIT
LBN,Western Palearctic,ISO_A3
Lebanon,Western Palearctic,SUBUNIT
ETH,Afrotropics,ISO_A3
Ethiopia,Afrotropics,SUBUNIT
SSD,Afrotropics,ISO_A3
South Sudan,Afrotropics,SUBUNIT
SOM,Afrotropics,ISO_A3
Somalia,Afrotropics,SUBUNIT
KEN,Afrotropics,ISO_A3
Kenya,Afrotropics,SUBUNIT
MWI,Afrotropics,ISO_A3
Malawi,Afrotropics,SUBUNIT
TZA,Afrotropics,ISO_A3
Tanzania,Afrotropics,SUBUNIT
SYR,Western Palearctic,ISO_A3
Syria,Western Palearctic,SUBUNIT
SOL,Afrotropics,ISO_A3
Somaliland,Afrotropics,SUBUNIT
SUR,Neotropics,ISO_A3
Suriname,Neotropics,SUBUNIT
GUY,Neotropics,ISO_A3
Guyana,Neotropics,SUBUNIT
KOR,Eastern Palearctic,ISO_A3
South Korea,Eastern Palearctic,SUBUNIT
PRK,Eastern Palearctic,ISO_A3
North Korea,Eastern Palearctic,SUBUNIT
MAR,Western Palearctic,ISO_A3
Morocco,Western Palearctic,SUBUNIT
ESH,Western Palearctic,ISO_A3
Western Sahara,Western Palearctic,SUBUNIT
CRI,Neotropics,ISO_A3
Costa Rica,Neotropics,SUBUNIT
NIC,Neotropics,ISO_A3
Nicaragua,Neotropics,SUBUNIT
COG,Afrotropics,ISO_A3
Republic of the Congo,Afrotropics,SUBUNIT
COD,Afrotropics,ISO_A3
Democratic Republic of the Congo,Afrotropics,SUBUNIT
BTN,Indomalaya,ISO_A3
Bhutan,Indomalaya,SUBUNIT
UKR,Western Palearctic,ISO_A3
Ukraine,Western Palearctic,SUBUNIT
BLR,Western Palearctic,ISO_A3
Belarus,Western Palearctic,SUBUNIT
NAM,Afrotropics,ISO_A3
Namibia,Afrotropics,SUBUNIT
ZAF,Afrotropics,ISO_A3
South Africa,Afrotropics,SUBUNIT
MAF,Neotropics,ISO_A3
Saint Martin,Neotropics,SUBUNIT
SXM,Neotropics,ISO_A3
Sint Maarten,Neotropics,SUBUNIT
