record_type,package,version,build,channel_or_home_page,license,metadata_path
conda-package,blas,1.0,mkl,https://repo.anaconda.com/pkgs/main/win-64,NOT_REPORTED,conda-meta/blas-1.0-mkl.json
conda-package,certifi,2021.5.30,py36haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,MPL-2.0,conda-meta/certifi-2021.5.30-py36haa95532_0.json
conda-package,cycler,0.11.0,pyhd3eb1b0_0,https://repo.anaconda.com/pkgs/main/noarch,BSD-3-Clause,conda-meta/cycler-0.11.0-pyhd3eb1b0_0.json
conda-package,dataclasses,0.8,pyh4f3eec9_6,https://repo.anaconda.com/pkgs/main/noarch,Apache-2.0,conda-meta/dataclasses-0.8-pyh4f3eec9_6.json
conda-package,freetype,2.14.1,hfbffc0b_0,https://repo.anaconda.com/pkgs/main/win-64,GPL-2.0-only or FTL,conda-meta/freetype-2.14.1-hfbffc0b_0.json
conda-package,intel-openmp,2025.0.0,haa95532_1164,https://repo.anaconda.com/pkgs/main/win-64,LicenseRef-IntelSimplifiedSoftwareOct2022,conda-meta/intel-openmp-2025.0.0-haa95532_1164.json
conda-package,jpeg,9f,ha349fce_0,https://repo.anaconda.com/pkgs/main/win-64,IJG,conda-meta/jpeg-9f-ha349fce_0.json
conda-package,kiwisolver,1.3.1,py36hd77b12b_0,https://repo.anaconda.com/pkgs/main/win-64,BSD-3-Clause,conda-meta/kiwisolver-1.3.1-py36hd77b12b_0.json
conda-package,lerc,4.1.0,hd7fb8db_2,https://repo.anaconda.com/pkgs/main/win-64,Apache-2.0,conda-meta/lerc-4.1.0-hd7fb8db_2.json
conda-package,libdeflate,1.17,h2bbff1b_1,https://repo.anaconda.com/pkgs/main/win-64,MIT,conda-meta/libdeflate-1.17-h2bbff1b_1.json
conda-package,libpng,1.6.56,h2854ad3_0,https://repo.anaconda.com/pkgs/main/win-64,Zlib,conda-meta/libpng-1.6.56-h2854ad3_0.json
conda-package,libtiff,4.5.0,h8a3f274_0,https://repo.anaconda.com/pkgs/main/win-64,HPND,conda-meta/libtiff-4.5.0-h8a3f274_0.json
conda-package,libzlib,1.3.1,h1c6eee0_1,https://repo.anaconda.com/pkgs/main/win-64,Zlib,conda-meta/libzlib-1.3.1-h1c6eee0_1.json
conda-package,lz4-c,1.9.4,h2bbff1b_1,https://repo.anaconda.com/pkgs/main/win-64,BSD-2-Clause,conda-meta/lz4-c-1.9.4-h2bbff1b_1.json
